NameOfTaxa,My_Species,,,,,,,,,,
Acantholimon_lycopodioides_(Girard)_Boiss.,Acantholimon_lycopodioides,,,,,,,,,,
Acanthophyllum_sedifolium_(Kurz)_Madhani_&_Zarre_***_(=Gypsophila_sedifolia_Kurz),Gypsophila_sedifolia,,,,,,,,,,
Aconitum_violaceum_Jacquem._ex_Stapf,Aconitum_violaceum,,,,,,,,,,
Aconitum_heterophyllum_Wall._ex_Royle,Aconitum_heterophyllum,,,,,,,,,,
Aconitum_rotundifolium_Kar._&_Kir.,Aconitum_rotundifolium,,,,,,,,,,
Agrostis_gigantea_Roth,Agrostis_gigantea_(g),,,,,,,,,,
Ajania_fruticulosa_(Ledeb.)_Poljakov_(=Tanacetum_fruticulosum_Ledeb),Tanacetum_fruticulosum,,,,,,,,,,
"Ajania_tibetica_(Hook.f._&_Thomson)_Tzvelev_(=Tanacetum_tibeticum_Hook._f_&_Thomson_ex_C.B.Clarke,_Chrysanthemum_tibeticum_Hook._f._&_Thomson_ex_C.B.Clarke.)",Tanacetum_tibeticum,,,,,,,,,,
Allardia_tomentosa_Decne._(=Waldheimia_tomentosa_Regel),Waldheimia_tomentosa,,,,,,,,,,
Allium_carolinianum_DC._(=Allium_thomsonii_Baker),Allium_carolinianum,,,,,,,,,,
Allium_oreoprasum_Schrenk,Allium_oreoprasum,,,,,,,,,,
Allium_przewalskianum_Regel_(=Allium_stoliczkii_Regel),Allium_przewalskianum,,,,,,,,,,
"Anaphalis_nepalensis_(Spreng.)_Hand.-_Mazz._var._nepalensis_(=Anaphalis_cuneifolia_Hook.f.,_Anaphalis_nubigena_DC.)",Anaphalis_nubigena,,,,,,,,,,
Anaphalis_virgata_Thomson,Anaphalis_virgata,,,,,,,,,,
"Androsace_jacquemontii_Duby_var._robusta_(R.Knuth)_Govaerts_(=Androsace_robusta_(R.Knuth)_Hand.-_Mazz.,_Androsace_villosa_Jacq._var._robusta_R.Knuth)",Androsace_robusta,,,,,,,,,,
Aquilegia_fragrans_Benth.,Aquilegia_fragrans,,,,,,,,,,
Aquilegia_moorcroftiana_Wall._Ex_Royle,Aquilegia_moorcroftiana,,,,,,,,,,
Arenaria_serpyllifolia_L.,Arenaria_serpyllifolia,,,,,,,,,,
Argentina_anserina_(L.)_Rydb._(=Potentilla_anserina_L.),Argentina_anserina,,,,,,,,,,
Arnebia_euchroma_I.M.Johnst.,Arnebia_euchroma,,,,,,,,,,
Artemisia_brevifolia_Wall._ex_DC.,Artemisia_brevifolia,,,,,,,,,,
Artemisia_fragrans_Willd.,Artemisia_fragrans,,,,,,,,,,
Artemisia_minor_Jacquem._ex_Besser,Artemisia_minor,,,,,,,,,,
Artemisia_salsoloides_Willd.,Artemisia_salsoloides,,,,,,,,,,
Artemisia_moorcroftiana_Wall._ex_DC.,Artemisia_moorcroftiana,,,,,,,,,,
Artemisia_stechmanniana_Besser_(=Artemisia_santolinifolia_Turcz._ex_Krasch.),Artemisia_santolinifolia,,,,,,,,,,
"Askellia_flexuosa_(Ledeb.)_W.A.Weber_(=Youngia_glauca_Edgew.,_Crepis_flexuosa_(DC.)_Benth._&_Hook.f.)",Askellia_flexuosa,,,,,,,,,,
Aster_flaccidus_Bunge_subsp._flaccidus_(=Aster_tibeticus_Hook.f.),Aster_flaccidus,,,,,,,,,,
Astragalus_nivalis_Kar_&_Kir.,Astragalus_nivalis,,,,,,,,,,
Astragalus_oplites_Benth._ex_R.Parker_(=Astragalus_cicerifolius_Royle_ex_Bunge.),Astragalus_oplites,,,,,,,,,,
Astragalus_thomsonii_Podlech,Astragalus_thomsonii,,,,,,,,,,
Astragalus_tibetanus_Benth._ex_Bunge,Astragalus_tibetanus,,,,,,,,,,
"Astragalus_hoffmeisteri_(Klotzsch)_Ali_(=Astragalus_adesmiifolius_Benth._ex_Bunge.,_Astragalus_hoffmeisteri_var._hoffmeisteri_(Klotzsch)_Ali)",Astragalus_hoffmeisteri,,,,,,,,,,
Astragalus_melanostachys_Bunge,Astragalus_melanostachys,,,,,,,,,,
Astragalus_rhizanthus_Benth._subsp._rhizanthus_Benth._(=Astragalus_ladakensis_N.P.Balakr.),Astragalus_rhizanthus,,,,,,,,,,
Axyris_hybrida_L.,Axyris_hybrida,,,,,,,,,,
Bistorta_affinis_(D.Don)_Greene,Bistorta_affinis,,,,,,,,,,
Bistorta_vivipara_(L.)_Delarbre_(=Polygonum_viviparum_L.),Bistorta_vivipara,,,,,,,,,,
"Blysmus_compressus_(L.)_Panz._ex_Link_subsp._compressus_(L.)_Panz._ex_Link_(=Scirpus_caricis_Retz.,_Scirpus_planifolicus_Grimm)",Blysmus_compressus_(s),,,,,,,,,,
Bothriochloa_ischaemum_(L.)_Keng,Bothriochloa_ischaemum_(g),,,,,,,,,,
"Calamagrostis_holciformis_Jaub._&_Spach_(=Deyeuxia_holciformis_(Jaub._&_Spach),_Deyeuxia_compacta_Munro_ex_Duthie)",Calamagrostis_holciformis_(g),,,,,,,,,,
Calamagrostis_pseudophragmites_(Haller_f.)_Koeler_(=Calamagrostis_pseudophragmite_(Haller_f.)_Koeler_subsp._tartarica_(Hook.f.)_Tzvelev),Calamagrostis_pseudophragmites_(g),,,,,,,,,,
"Campanula_pallida_Wall._(=Campanula_pallida_Wall._var._Tibetica_(Hook._f._&_Thomson),_Campanula_colorata_Wall._var._tibetica_Hook.f._&_Thomson,_Campanula_colorata_Wall.)",Campanula_pallida_var_tibetica,,,,,,,,,,
Campeiostachys_schrenkiana_(Fisch._&_C.A.Mey._ex_Schrenk)_Drobow_(=Elymus_schrenkianus_(Fisch._&_C.A.Mey.)_Tzvelev),Elymus_schrenkianus_(g),,,,,,,,,,
Caragana_versicolor_Benth.,Caragana_versicolor,,,,,,,,,,
Carduus_nutans_L.,Carduus_nutans,,,,,,,,,,
Carex_coninux_(F.T.Wang_&_Tang)_S.R.Zhang_(=Kobresia_karakorumensis_DickorÃ©),Kobresia_karakorumensis_(s),,,,,,,,,,
"Carex_kokanica_(Regel)_S.R.Zhang_(=Kobresia_royleana_(Nees)_Boeckeler,_Kobresia_royleana_(Nees)_Boeckeler_var._kokanica_Kuk.)",Kobresia_royleana_(s),,,,,,,,,,
Carex_melanantha_C.A.Mey.,Carex_melanantha_(s),,,,,,,,,,
Carex_orbicularis_Boott,Carex_orbicularis_(s),,,,,,,,,,
Carex_pamirensis_C.B.Clarke,Carex_pamirensis_(s),,,,,,,,,,
Carex_pseudofoetida_Kük.,Carex_pseudofoetida_(s),,,,,,,,,,
Cenchrus_flaccidus_(Griseb.)_Morrone_(=Pennisetum_flaccidum_Griseb.),Pennisetum_flaccidum_(g),,,,,,,,,,
Cerastium_fontanum_Baumg.,Cerastium_fontanum,,,,,,,,,,
Cerastium_cerastoides_(L.)_Britton_(=Dichodon_cerastoides_(L.)_Rchb.),Cerastium_cerastoides,,,,,,,,,,
Chenopodium_album_L.,Chenopodium_album,,,,,,,,,,
Chesneya_cuneata_(Benth.)_Ali_(=Caragana_cuneata_(Benth.)_Baker),Chesneya_cuneata,,,,,,,,,,
Chorispora_sabulosa_Cambess.,Chorispora_sabulosa,,,,,,,,,,
Christolea_crassifolia_Cambess.,Christolea_crassifolia,,,,,,,,,,
Cicer_microphyllum_Benth.,Cicer_microphyllum,,,,,,,,,,
Cirsium_arvense_(L.)_Scop._(=Breea_arvensis_(L.)_Less.),Cirsium_arvense,,,,,,,,,,
Codonopsis_clematidea_(Schrenk)_C.B.Clarke,Codonopsis_clematidea,,,,,,,,,,
"Conioselinum_tataricum_Hoffm._(=Selinum_papyraceum_C.B.Clarke,_Conioselinum_papyraceum_(C.B.Clarke)_Pimenov_&_Kljuykov)",Conioselinum_vaginatum,,,,,,,,,,
Corydalis_flabellata_Edgew.,Corydalis_flabellata,,,,,,,,,,
Cotoneaster_affinis_Lindl.,Cotoneaster_affinis,,,,,,,,,,
Cousinia_thomsonii_C.B.Clarke,Cousinia_thomsonii,,,,,,,,,,
"Cremanthodium_ellisii_(Hook._f.)_Kitam._(=Cremanthodium_plantagineum_Maxim._var._maximowiczii_(Franch.)_Aswal,_Cremanthodium_plantagineum_Maxim.)",Cremanthodium_ellisii,,,,,,,,,,
"Crucihimalaya_mollissima_(C.A.Mey.)_Al-_Shehbaz,_Oâ€™Kane_&_R.A.Price_(=Arabidopsis_mollissima_(C.A.Mey.)_N.Busch.)",Crucihimalaya_mollissima,,,,,,,,,,
Cuscuta_europaea_L._var._indica_Engelm,Cuscuta_europaea,,,,,,,,,,
Dactylorhiza_hatagirea_(D._Don.)_Soo.,Dactylorhiza_hatagirea,,,,,,,,,,
Dasiphora_dryadanthoides_Juz.,Dasiphora_dryadanthoides,,,,,,,,,,
Delphinium_brunonianum_Royle,Delphinium_brunonianum,,,,,,,,,,
Delphinium_cashmerianum_Royle,Delphinium_cashmerianum,,,,,,,,,,
Dianthus_anatolicus_Boiss.,Dianthus_anatolicus,,,,,,,,,,
Dontostemon_glandulosus_(Kar._&_Kir.)_O.E.Schulz_(=Arabis_glandulosa_Kar._&_Kir.),Dontostemon_glandulosus,,,,,,,,,,
Draba_cachemirica_Gand.,Draba_cachemirica,,,,,,,,,,
Draba_setosa_Royle_(=Draba_pyriformis_Pojle),Draba_setosa,,,,,,,,,,
Draba_stenocarpa_Hook.f._&_Thomson,Draba_stenocarpa,,,,,,,,,,
Elymus_canaliculatus_(Nevski)_Tzvelev,Elymus_canaliculatus_(g),,,,,,,,,,
Elymus_dahuricus_Griseb.,Elymus_dahuricus_(g),,,,,,,,,,
Elymus_jacquemontii_(Hook.f.)_Cope_(=Agropyron_jacquemontii_Hook._f.),Elymus_jacquemontii_(g),,,,,,,,,,
Elymus_nutans_Griseb.,Elymus_nutans_(g),,,,,,,,,,
Elymus_repens_(L.)_Gould_(=Agropyron_repens_P.Beauv.),Elymus_repens_(g),,,,,,,,,,
Elymus_schugnanicus_(Nevski)_Tzvelev,Elymus_schugnanicus_(g),,,,,,,,,,
Ephedra_gerardiana_Wall._ex_Stapf,Ephedra_gerardiana,,,,,,,,,,
Ephedra_intermedia_Schrenk_&_C.A.Mey.,Ephedra_intermedia,,,,,,,,,,
Epilobium_latifolium_L.,Epilobium_latifolium,,,,,,,,,,
Epilobium_angustifolium_L.,Epilobium_angustifolium,,,,,,,,,,
Equisetum_diffusum_D.Don,Equisetum_diffusum,,,,,,,,,,
Equisetum_ramosissimum_Desf.,Equisetum_ramosissimum,,,,,,,,,,
Erigeron_multiradiatus_(Lindl._ex_DC.)_Benth._&_Hook.f.,Erigeron_multiradiatus,,,,,,,,,,
Eriocapitella_rupicola_(Cambess.)_Christenh._&_Byng_(=Anemone_rupicola_Cambess.),Anemone_rupicola,,,,,,,,,,
"Eriophyton_tibeticum_(vatke)_Ryding_(=Stachys_tibetica_vatke,_Menitskia_tibetica_(vatke)_Krestovsk.)",Stachys_tibetica,,,,,,,,,,
Eritrichium_villosum_(Ledeb.)_Bunge,Eritrichium_villosum,,,,,,,,,,
Eritrichium_spathulatum_(Benth.)_C.B.Clarke,Eritrichium_spathulatum,,,,,,,,,,
Euphorbia_tibetica_Boiss.,Euphorbia_tibetica,,,,,,,,,,
Euphorbia_thomsoniana_Boiss.,Euphorbia_thomsoniana,,,,,,,,,,
Euphrasia_officinalis_L._subsp._pratensis_Fr._(=Euphrasia_vulgaris_Gueldenst._ex_Ledeb.),Euphrasia_officinalis,,,,,,,,,,
Euphrasia_himalayica_Wettst.,Euphrasia_himalayica,,,,,,,,,,
Euphrasia_platyphylla_Pennell,Euphrasia_platyphylla,,,,,,,,,,
Fagopyrum_esculentum_Moench,Fagopyrum_esculentum,,,,,,,,,,
Farinopsis_salesoviana_(Stephan)_Chrtek_&_SojÃ¡k_(=Comarum_salesovianum_(Stephan)_Asch._&_Graebn.),Farinopsis_salesoviana,,,,,,,,,,
Ferula_jaeschkeana_vatke,Ferula_jaeschkeana,,,,,,,,,,
Festuca_kashmiriana_Stapf,Festuca_kashmiriana_(g),,,,,,,,,,
Festuca_nitidula_Stapf,Festuca_nitidula_(g),,,,,,,,,,
Galium_boreale_L.,Galium_boreale,,,,,,,,,,
"Gentiana_aquatica_L._var._pseudoaquatica_(Kusn.)_S.Agrawal_(=Gentiana_burkillii_H.Smith,_Gentiana_pseudoaquatica_Kusnez.)",Gentiana_burkillii,,,,,,,,,,
Gentiana_kirilowii_Turcz._(=Gentiana_tianschanica_Rupr._ex_Kusn.),Gentiana_tianschanica,,,,,,,,,,
Gentiana_squarrosa_Ledeb.,Gentiana_squarrosa,,,,,,,,,,
Gentiana_leucomelaena_Maxim.,Gentiana_leucomelaena,,,,,,,,,,
Gentianella_moorcroftiana_(Wall._ex_Griseb.)_Airy_Shaw_(=Gentiana_moorcroftinana_Wall._ex_G.Don),Gentianella_moorcroftiana,,,,,,,,,,
Gentianopsis_paludosa_(Hook._f.)_Ma_var._alpina_T.N.Ho,Gentianopsis_paludosa,,,,,,,,,,
Geranium_himalayense_Klotzsch_(=Geranium_regelii_Nevski),Geranium_himalayense,,,,,,,,,,
Haloxylon_thomsonii_Bunge_ex_Boiss._(=Arthrophytum_thomsonii_(Bunge_ex_Boiss.)_Iljin),Haloxylon_thomsonii,,,,,,,,,,
Heracleum_pinnatum_C.B.Clarke,Heracleum_pinnatum,,,,,,,,,,
Hippolytia_senecionis_(Jacquem._ex_Besser)_Tzvelev_(=Tanacetum_senecionis_J.Gay_ex_DC.),Hippolytia_senecionis,,,,,,,,,,
Hippophae_tibetana_Schltdl.,Hippophae_tibetana,,,,,,,,,,
Hippophae_rhamnoides_L.,Hippophae_rhamnoides,,,,,,,,,,
"Hylotelephium_ewersii_(Ledeb.)_Ohba_(=Sedum_ewersii_(Ledeb.)_Ohba_var._homophyllum_Praeger,_Sedum_ewersii_Ledeb.)",Hylotelephium_ewersii,,,,,,,,,,
Hymenolaena_candollei_DC._(=Pleurospermum_candollei_(DC.)_Clarke),Pleurospermum_candollei,,,,,,,,,,
Impatiens_brachycentra_Kar._&_Kir.,Impatiens_brachycentra,,,,,,,,,,
Inula_koelzii_R.Dawar_&_Qaiser,Inula_koelzii,,,,,,,,,,
"Inula_rhizocephala_Schrenk_(=Inula_rhizocephala_Schrenk_var._rhizocephaloides_(Clarke)_Kit.,_Inula_rhizocephaloides_Cl.Comp.)",Inula_rhizocephala,,,,,,,,,,
Iris_hookeriana_Foster,Iris_hookeriana,,,,,,,,,,
"Jacobaea_analoga_(DC.)_veldkamp_(=Senecio_laetus_Edgew.,_Senecio_chrysanthemoides_DC.)",Senecio_chrysanthemoides,,,,,,,,,,
Jacobaea_korshinskyi_(Krasch.)_B.Nord._(=Senecio_korshinskyi_Krasch.),Senecio_korshinskyi,,,,,,,,,,
Juniperus_semiglobosa_Regel,Juniperus_semiglobosa,,,,,,,,,,
Koeleria_macrantha_(Ledeb.)_Schult.,Koeleria_macrantha,,,,,,,,,,
"Koeleria_spicata_(L.)_BarberÃ¡,_Quintanar,_Soreng_&_P.M.Peterson_(=Trisetum_spicatum_(L.)_K.Richt.)",Trisetum_spicatum_(g),,,,,,,,,,
Koenigia_rumicifolia_(Royle_ex_Bab.)_T.M.Schust._&_Reveal_(=Aconogonon_rumicifolium_(Royle_ex_Bab.)_Hara),Koenigia_rumicifolia,,,,,,,,,,
"Koenigia_tortuosa_(D.Don)_T.M.Schust._&_Reveal_(=Aconogonon_tortuosum_(D._Don)_Hara,_Polygonum_tortuosum_D.Don)",Aconogonon_tortuosum,,,,,,,,,,
Krascheninnikovia_ceratoides_(L.)_Gueldenst._(=Krascheninnikovia_pungens_(Pazij)_Podlech),Krascheninnikovia_ceratoides,,,,,,,,,,
Lactuca_orientalis_(Boiss.)_Boiss.,Lactuca_orientalis,,,,,,,,,,
Lamium_amplexicaule_L.,Lamium_amplexicaule,,,,,,,,,,
Leontopodium_brachyactis_Gand.,Leontopodium_brachyactis,,,,,,,,,,
Leontopodium_souliei_Beauverd,Leontopodium_souliei,,,,,,,,,,
Lepidium_latifolium_L.,Lepidium_latifolium,,,,,,,,,,
Lepyrodiclis_holosteoides_(C.A.Mey.)_Fenzl_ex_Fisch._&_C.A.Mey._(=Arenaria_holosteoides_(C.A.Mey.)_Edgew.),Lepyrodiclis_holosteoides,,,,,,,,,,
Leymus_secalinus_(Georgi)_Tzvelev,Leymus_secalinus_(g),,,,,,,,,,
Lindelofia_stylosa_(Kar._&_Kir.)_Brand,Lindelofia_stylosa,,,,,,,,,,
Lindelofia_anchusoides_(Lindl.)_Lehm.,Lindelofia_anchusoides,,,,,,,,,,
Lomatogonium_carinthiacum_(Wulfen)_A.Braun,Lomatogonium_carinthiacum,,,,,,,,,,
Lonicera_asperifolia_Hook.f._&_Thomson,Lonicera_asperifolia,,,,,,,,,,
Lonicera_semenovii_Regel_(=Lonicera_glauca_Hook.f._&_Thomson),Lonicera_semenovii,,,,,,,,,,
Lonicera_spinosa_(Decne.)_Jacq._ex_Walp.,Lonicera_spinosa,,,,,,,,,,
Lonicera_microphylla_Willd._ex_Schult.,Lonicera_microphylla,,,,,,,,,,
Lotus_corniculatus_L.,Lotus_corniculatus,,,,,,,,,,
Matthiola_chorassanica_Bunge_ex_Boiss.,Matthiola_chorassanica,,,,,,,,,,
Meconopsis_aculeata_Royle,Meconopsis_aculeata,,,,,,,,,,
Medicago_falcata_L.,Medicago_falcata,,,,,,,,,,
Medicago_lupulina_L.,Medicago_lupulina,,,,,,,,,,
Medicago_×_varia_Martyn,Medicago_varia,,,,,,,,,,
Melica_persica_Kunth_(=Melica_jacquemontii_Dcne._Ex_Jacq.),Melica_persica_(g),,,,,,,,,,
Morina_coulteriana_Royle,Morina_coulteriana,,,,,,,,,,
Myosotis_asiatica_(vestergr.)_Schischk._&_Serg.,Myosotis_asiatica,,,,,,,,,,
Myricaria_bracteata_Royle_(=Myricaria_germanica_(L.)_Desv._subsp._alopecuroides_(Schrenk)_Kitam.),Myricaria_germanica,,,,,,,,,,
Neobrachyactis_pubescens_(DC.)_Brouillet_(=Brachyactis_pubescens_(DC.)_Aitch._&_C.B.Clarke),Brachyactis_pubescens,,,,,,,,,,
Neobrachyactis_roylei_(DC.)_Brouillet_(=Brachyactis_roylei_(DC.)_Wendelbo),Brachyactis_roylei,,,,,,,,,,
Nepeta_discolor_Royle_ex_Benth.,Nepeta_discolor,,,,,,,,,,
Nepeta_floccosa_Benth.,Nepeta_floccosa,,,,,,,,,,
Nepeta_glutinosa_Benth.,Nepeta_glutinosa,,,,,,,,,,
Nepeta_leucolaena_Benth._ex_Hook.f._(=Nepeta_royleana_R.R.Stewart.),Nepeta_leucolaena,,,,,,,,,,
Nepeta_podostachys_Benth.,Nepeta_podostachys,,,,,,,,,,
Oxytropis_glabra_DC.,Oxytropis_glabra,,,,,,,,,,
Oxytropis_humifusa_Kar._&_Kir._(=Oxytropis_glacialis_Benth.),Oxytropis_humifusa,,,,,,,,,,
Oxytropis_tatarica_Hook.f._&_Thomson_ex_Bunge,Oxytropis_tatarica,,,,,,,,,,
Oxytropis_hypoglottoides_(Baker)_Ali_(=Astragalus_hypoglottoides_Baker),Oxytropis_hypoglottoides,,,,,,,,,,
Pedicularis_punctata_Decne.,Pedicularis_punctata,,,,,,,,,,
Pedicularis_bicornuta_Klotzsch,Pedicularis_bicornuta,,,,,,,,,,
Pedicularis_rhinanthoides_Schrenk_ex_Fisch._&_C.A.Mey._subsp._labellata_(Jacquem.)_Pennell,Pedicularis_rhinanthoides,,,,,,,,,,
"Piptatherum_gracile_Mez_(=Oryzopsis_brachyclada_Pilger,_Oryzopsis_gracilis_(Mez)_Pilg.)",Piptatherum_gracile_(g),,,,,,,,,,
Piptatherum_laterale_(Regel)_Roshev._(=Oryzopsis_lateralis_(Regel)_Stapf_ex_Hook.f.),Piptatherum_laterale_(g),,,,,,,,,,
Plantago_depressa_Willd.,Plantago_depressa,,,,,,,,,,
Plantago_himalaica_Pilg.,Plantago_himalaica,,,,,,,,,,
Plantago_lanceolata_L.,Plantago_lanceolata,,,,,,,,,,
Poa_alpina_L.,Poa_alpina_(g),,,,,,,,,,
Poa_attenuata_Trin.,Poa_attenuata_(g),,,,,,,,,,
"Podophyllum_hexandrum_Royle_(=Podophyllum_emodi_Wall_ex_Royle,_Sinopodophyllum_hexandrum_(Royle)_T.S.Ying)",Podophyllum_hexandrum,,,,,,,,,,
Polygonum_biaristatum_Aitch._&_Hemsl.,Polygonum_biaristatum,,,,,,,,,,
Polygonum_cognatum_Meisn.,Polygonum_cognatum,,,,,,,,,,
Polygonum_paronychioides_C.A.Mey.,Polygonum_paronychioides,,,,,,,,,,
Polygonum_polycnemoides_Jaub._&_Spach,Polygonum_polycnemoides,,,,,,,,,,
Polygonum_rottboellioides_Jaub._&_Spach,Polygonum_rottboellioides,,,,,,,,,,
Potentilla_multifida_L._(=_Potentilla_plurijuga_Hand.-_Mazz.),Potentilla_multifida,,,,,,,,,,
Potentilla_pamirica_Th.Wolf,Potentilla_pamirica,,,,,,,,,,
Potentilla_cathaclines_Lehm._(=Potentilla_argyrophylla_Wall._ex_Lehm._var._leucochroa_Lindl._ex_Hook.f.),Potentilla_atrosanguinea_var_argyrophylla,,,,,,,,,,
Potentilla_desertorum_Bunge,Potentilla_desertorum,,,,,,,,,,
Prangos_pabularia_Lindl.,Prangos_pabularia,,,,,,,,,,
Primula_minutissima_Jacquem._ex_Duby_(Primula_heydei_Watt),Primula_minutissima,,,,,,,,,,
Primula_pamirica_Fed.,Primula_pamirica,,,,,,,,,,
Psychrogeton_andryaloides_(DC.)_Novopokr._ex_Krasch._(=Erigeron_andryaloides_Benth._ex_C.B.Clarke),Psychrogeton_andryaloides,,,,,,,,,,
Puccinellia_distans_(Jacq.)_Parl.,Puccinellia_distans,,,,,,,,,,
Ranunculus_longicaulis_Ledeb._ex_A.Spreng.,Ranunculus_longicaulis,,,,,,,,,,
Ranunculus_pulchellus_Ledeb._ex_Spreng._var._pulchellus_(=Ranunculus_nephelogenes_Edgew.),Ranunculus_pulchellus,,,,,,,,,,
Rhamnus_darii_Govaerts_(=Rhamnus_prostrata_Jacq._ex_Parker),Rhamnus_prostrata,,,,,,,,,,
Rheum_spiciforme_Royle,Rheum_spiciforme,,,,,,,,,,
Rheum_webbianum_Royel,Rheum_webbianum,,,,,,,,,,
Rhodiola_crenulata_(Hook.f._&_Thomson)_H.Ohba,Rhodiola_crenulata,,,,,,,,,,
Rhodiola_tibetica_(Hook.f._&_Thomson)_S.H.Fu_(=Sedum_tibeticum_Hook.f._&_Thomson),Rhodiola_tibetica,,,,,,,,,,
Rhodiola_pamiroalaica_Boriss.,Rhodiola_pamiroalaica,,,,,,,,,,
Rhodiola_wallichiana_(Hook.)_S.H._Fu_(=Sedum_crassipes_Wall._Ex_H._&_T.),Rhodiola_wallichiana,,,,,,,,,,
Ribes_himalense_Royle_ex_Decne._(=Ribes_emodense_Rehder),Ribes_himalense_var_verruculosum,,,,,,,,,,
Ribes_orientale_Desf.,Ribes_orientale,,,,,,,,,,
"Richteria_pyrethroides_Kar._&_Kir._(=Chrysanthemum_pyrethroides_B.Fedtsch.,_Chrysanthemum_richteria_Benth.,_Tanacetum_pyrethroides_(Kar._&_Kir.)_Muradyan)",Richteria_pyrethroides,,,,,,,,,,
Rosa_webbiana_Wall._ex_Royle,Rosa_webbiana,,,,,,,,,,
Rosularia_alpestris_(Kar._&_Kir.)_Boriss._var._alpestris_(=Sempervivella_mucronata_(Edgew.)_Berger),Rosularia_alpestris,,,,,,,,,,
Rubia_tibetica_Hook._f.,Rubia_tibetica,,,,,,,,,,
Rubia_tinctorum_L.,Rubia_tinctorum,,,,,,,,,,
Rumex_nepalensis_Spreng.,Rumex_nepalensis,,,,,,,,,,
Rumex_patientia_L._subsp._tibeticus_(Rech.f.)_Rech.f.,Rumex_patientia,,,,,,,,,,
"Sabulina_kashmirica_(Edgew.)_Dillenb._&_Kadereit._(=Minuartia_kashmirica_(Edgew._&_Hook.f.)_Mattf.,_Minuartia_lineata_(Boiss.)_Bornm.)",Minuartia_foliosa,,,,,,,,,,
Salix_caesia_vill.,Salix_caesia,,,,,,,,,,
Salix_flabellaris_Andersson,Salix_flabellaris,,,,,,,,,,
Salix_karelinii_Turcz._ex_Stschegl.,Salix_karelinii,,,,,,,,,,
Salix_pycnostachya_Andersson,Salix_pycnostachya,,,,,,,,,,
Salix_sericocarpa_Andersson_(=Salix_oxycarpa_Anderss.),Salix_sericocarpa,,,,,,,,,,
Salsola_collina_Pall.,Salsola_collina,,,,,,,,,,
Salsola_tragus_L._(=Salsola_ruthenica_Iljin),Salsola_tragus,,,,,,,,,,
Saussurea_schultzii_Hook.f.,Saussurea_schultzii,,,,,,,,,,
Saussurea_gnaphalodes_(Royle_ex_Royle)_Sch.Bip.,Saussurea_gnaphlodes,,,,,,,,,,
Saxifraga_flagellaris_Willd.,Saxifraga_flagellaris,,,,,,,,,,
Saxifraga_meeboldii_Engl._&_Irmsch.,Saxifraga_meeboldi,,,,,,,,,,
Scorzonera_virgata_DC.,Scorzonera_virgata,,,,,,,,,,
Scrophularia_dentata_Royle_ex_Benth.,Scrophularia_dentata,,,,,,,,,,
Scrophularia_koelzii_Pennell,Scrophularia_koelzii,,,,,,,,,,
Semenovia_lasiocarpa_(Boiss.)_Manden.,Semenovia_lasiocarpa,,,,,,,,,,
Shangwua_jacea_(Klotzsch)_Yu_J.Wang_&_Raab-_Straube_(=Saussurea_jacea_(Klotzsch)_Clarke),Saussurea_jacea,,,,,,,,,,
Sibbaldia_cuneata_Schouw_ex_Kunze,Sibbaldia_cuneata,,,,,,,,,,
"Sibbaldianthe_bifurca_(L.)_Kurtto_&_T.Erikss._(=Schistophyllidium_bifurcum_(L.)_Ikonn.,_Potentilla_bifurca_L.)",Sibbaldianthe_bifurca,,,,,,,,,,
Silene_caespitella_F.N.Williams,Silene_caespitella,,,,,,,,,,
Silene_moorcroftiana_Wall._ex_Benth.,Silene_moorcroftiana,,,,,,,,,,
Silene_vulgaris_(Moench)_Garcke,Silene_vulgaris,,,,,,,,,,
Sisymbrium_brassiciforme_C.A.Mey.,Sisymbrium_brassiciforme,,,,,,,,,,
Solenanthus_circinnatus_Ledeb.,Solenanthus_circinatus_Ledeb.,,,,,,,,,,
Stipa_caucasica_Schmalh.,Stipa_caucasica_(g),,,,,,,,,,
Stipa_himalaica_Roshev.,Stipa_himalaica_(g),,,,,,,,,,
Stipa_purpurea_Griseb.,Stipa_purpurea_(g),,,,,,,,,,
Tanacetum_artemisioides_Sch._Bip._ex_Hook.f.,Tanacetum_artemisioides,,,,,,,,,,
Taraxacum_officinale_F.H.Wigg.,Taraxacum_officinale,,,,,,,,,,
Thalictrum_alpinum_L.,Thalictrum_alpinum,,,,,,,,,,
Thalictrum_foetidum_L._subsp._foetidum_L._(=Thalictrum_vaginatum_Royle),Thalictrum_foetidum,,,,,,,,,,
Thermopsis_inflata_Cambess.,Thermopsis_inflata,,,,,,,,,,
Thesium_hookeri_Hendrych,Thesium_hookeri,,,,,,,,,,
Thymus_linearis_Benth.,Thymus_linearis,,,,,,,,,,
Trichophorum_pumilum_Schinz_&_Thell.,Trichophorum_pumilum_(s),,,,,,,,,,
Trifolium_pratense_L.,Trifolium_pratense,,,,,,,,,,
Triglochin_maritima_L.,Triglochin_maritima,,,,,,,,,,
Tulipa_clusiana_Redout,Tulipa_stellata,,,,,,,,,,
Verbascum_thapsus_L.,Verbascum_thapsus,,,,,,,,,,